xid	pm	zhan	kind
11	7	东单	2
11	3	八角游乐园	1
11	10	天安门西	2
11	9	天安门东	2
11	20	八宝山	2
11	17	万寿路	2
11	15	军事博物馆	2
11	2	四惠	2
11	3	大望路	2
11	4	国贸	2
11	22	四惠	1
11	23	四惠东	1
11	1	四惠东	2
11	20	国贸	1
11	8	王府井	2
11	9	军事博物馆	1
11	10	木樨地	1
11	11	南礼士路	1
11	12	复兴门	1
11	13	西单	1
11	14	天安门西	1
11	15	天安门东	1
11	16	王府井	1
11	17	东单	1
11	7	万寿路	1
11	5	玉泉路	1
11	4	八宝山	1
11	2	古城	1
11	22	古城	2
11	23	苹果园	2
12	12	海户屯	2
12	8	天坛西门	2
12	11	木樨园桥北	2
12	6	天安门广场西	2
12	3	北京妇产医院	2
12	1	海户屯	1
12	2	木樨园桥北	1
12	3	沙子口	1
12	4	永定门内	1
12	5	天坛西门	1
12	6	大栅栏	1
12	7	天安门广场东	1
12	8	天安门东	1
12	9	东华门	1
12	10	北京妇产医院	1
12	11	沙滩路口南	1
12	12	宽街路口南	1
12	1	宽街路口南	2
12	2	沙滩路口南	2
12	9	永定门内	2
12	7	大栅栏	2
12	5	天安门东	2
12	4	东华门	2
12	10	沙子口	2
14	11	建国门	3
14	12	朝阳门	3
14	13	东四十条	3
14	9	崇文门	3
14	10	北京站	3
14	8	前门	3
14	7	和平门	3
14	6	宣武门	3
14	5	长椿街	3
14	4	复兴门	3
14	3	阜成门	3
14	2	车公庄	3
14	14	东直门	3
14	15	雍和宫	3
14	16	安定门	3
14	17	鼓楼大街	3
14	18	积水潭	3
14	1	西直门	3
14	19	西直门	3
15	15	复兴门	3
15	9	北京站	3
15	12	和平门	3
15	14	长椿街	3
15	16	阜成门	3
15	11	前门	3
15	13	宣武门	3
15	10	崇文门	3
15	8	建国门	3
15	7	朝阳门	3
15	6	东四十条	3
15	5	东直门	3
15	4	雍和宫	3
15	3	安定门	3
15	2	鼓楼大街	3
15	17	车公庄	3
15	18	西直门	3
15	19	积水潭	3
15	1	积水潭	3
16	15	天坛南门	1
16	12	陶然亭公园南门	1
16	10	右安门西	1
16	8	菜户营桥东	1
16	20	陶然桥东	2
16	18	天坛南门	2
16	21	劲松南路西口	1
